1001,41592,105114,114740,4395,48141,27435,3140,37723,11052,19672,22003,40049,51281,109364,32635,57412,112443,12724,25020,7422,56957,27909,13680,80742,27073,110329,18932,19163,51097,74413,77248,19809,80909,75978,46030,2603,27336,33465,12297,36856,65639,27101,82194,22187,27304,17908,74536,23158,72763,18984
10032,35410,23382,114868,31078,26117,19441,5475,46670,95188,26240,19779,591,112443,44781,32941,8966,87016,12627,1695,22381,95453,37839,29420,96895,90832,70479,25546,108948,31450,58711,73062,20457,114626,73902,75757,79731,67018,64186,37188,72775,49878,64673,17857,45431,18607,15991,49331,112388,46652,87107
10043,59713,22281,61542,87353,29120,86850,5435,1647,21452,29835,40685,34246,80781,88569,42448,47382,59120,82163,66987,35973,28974,65350,3686,81897,113305,19017,40484,2198,42917,112013,30391,17703,20473,105300,56723,83594,33463,36105,75489,50951,47011,39065,113361,32628,40647,37293,33857,68415,39163,14752
10054,87353,20994,72088,24682,63738,49975,64551,25258,69039,50483,31137,82961,113840,20782,7352,105420,32153,50286,75413,27504,18537,94797,45001,57085,100085,2602,100848,43776,15646,30136,946,40463,63864,28210,22324,95867,4176,77656,13624,78386,76188,72881,25520,106497,37677,27840,221,94992,107655,34419
10065,78871,37481,79155,37912,57041,4688,29559,24165,38794,85899,87353,29621,34832,54598,5237,84456,13707,27667,56249,37539,48281,109961,58995,45457,5977,103045,87780,36409,8855,48492,22187,54517,85162,88632,75205,32753,15976,40439,110727,29813,41614,31340,77292,87283,2844,35624,20340,102743,7082,36028
10076,2224,89603,39502,35917,17332,13336,23650,17094,15404,30415,63931,58055,42661,46725,34376,5034,73601,49467,102926,44997,34443,49365,81427,56482,8157,39406,51285,49337,4688,67029,6720,52268,77966,94940,68607,29813,81447,68316,14655,32518,57447,60736,58357,6085,82641,113786,11017,102670,19231,36054
10109,35645,110172,109246,7510,46053,20174,48120,53911,108296,101655,35283,59301,41748,61120,10887,45877,54700,43590,42333,45129,64567,47515,77436,100628,30346,89369,56358,14116,33008,66929,39942,26456,108817,59911,45573,116349,35234,33114,53762,31474,86296,35506,108539,42371,87649,100055,27687,62668,40973,49922
1012,12845,107608,25196,35868,48690,27302,38420,10939,80086,13439,50176,2049,73761,16886,48320,84391,24409,56050,61995,17491,27256,64364,57931,95809,99740,30224,54128,21065,83138,37065,25611,35299,33584,12351,49735,14982,63140,74774,52059,39327,6398,24267,70266,93678,61152,87675,61724,82476,37512,45231
10131,53351,32021,85899,90769,106363,27411,114893,9384,113633,86548,45356,72537,104436,103122,49175,114495,41097,114347,21115,51958,77047,7709,31054,39704,15974,34442,28665,2545,8151,107119,663,92635,68013,54277,89568,46861,20510,99150,73778,38560,62331,5540,12907,3294,4836,73027,112107,19798,87523,50656
10142,591,65202,113026,25645,23901,3052,13638,43236,1921,52016,22155,24448,19311,81421,47337,115555,24398,43720,47112,67283,40553,26117,52054,11050,85389,10476,52222,19651,41988,28264,23583,37800,82726,75644,35011,43293,21239,7270,20399,94872,56189,29907,42219,93854,32769,90867,21721,101834,29532,93249
10153,4916,264,13467,3766,6233,11224,26382,70391,51768,1478,3903,90153,71658,14321,96708,10716,65657,106340,58537,53657,23737,4277,26011,41,25339,85259,5234,14384,950,4395,111751,94962,106792,39291,1685,15850,16974,108938,75263,742,50323,32153,75408,53190,114125,112857,16362,8138,14666,1945
10175,102021,13088,115011,52766,19484,47449,12453,104750,15648,93379,21268,113197,29874,41046,36836,97495,102000,109509,46399,60031,39400,36250,21736,67067,36577,31193,6940,48744,86548,41717,100299,17139,70193,89413,6368,68128,16741,45193,29476,95506,68228,21998,29813,15316,37023,72262,51861,76756,33277,14398
10186,30864,14558,48564,69156,24688,73737,13788,23822,25959,94754,58488,79763,79037,27773,25263,26842,65521,68001,47382,88635,75290,32094,86430,1077,84498,12938,40949,79590,70830,88002,82378,94238,45716,23632,110758,32198,93593,66193,93379,4201,54071,106441,91269,11661,68267,8191,52198,22085,110172,83985
10197,25645,31005,77047,16643,20824,39693,11813,33810,80781,42910,26666,23012,15646,87869,36028,14576,36760,39648,59516,22029,111316,77333,5004,44498,41532,26658,22804,78198,19233,42242,15933,114125,591,34716,8149,15974,23825,39400,5966,68793,2545,4230,664,45063,3101,9997,85078,22324,6740,61901
